LP,sygnał %,Dźwignia x,wartość pozycji w USD,otwarcie pozycji,zamknięcie pozycji,data otwarcia,data zamknięcia,czas otwartej pozycji HH:MM:SS,różnica kursu otwarcie-zamkniecie $,Position change %,PNL $,Cumulative percentage,confidence factor,depozyt początkowy,depozyt aktualny,Cena BTC live,depozyt USD
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,"1,00%",10,"$0,00",16680,16395,2022-11-26 02:15:00,22-11-26 23:45,,▲ $285,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,"1,00%",10,"$0,00",16480,16355,2022-11-29 05:42:00,22-11-29 16:00,,▲ $125,"▲ 0,00%","$0,00","$0,00",,,,,
2,"1,00%",10,"$0,00",16510,16355,2022-11-29 07:53:00,22-11-29 16:00,,▲ $155,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,"16680,00","16395,00",2022-11-26 02:15:00,22-11-26 23:45,21:30:00,▲ $285,"▲ 0,00%","$0,00",#VALUE!,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"16480,00","16355,00",2022-11-29 05:42:00,22-11-29 16:00,10:18:00,▲ $125,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,"16510,00","16355,00",2022-11-29 07:53:00,22-11-29 16:00,8:07:00,▲ $155,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,"17068,00","16845,30",2022-11-30 03:35:00,22-11-30 05:53,2:18:00,▲ $223,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,,,,,,,,,,,,,,
,,,,"17229,00","17009,90",2022-12-01 00:30:00,22-12-01 16:23,15:53:00,▲ $219,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,"17057,00","16805,00",2022-12-02 13:25:00,22-12-02 13:55,0:30:00,▲ $252,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,,,,,,,,,,,,,,
,,,,"17241,00","17016,00",2022-12-05 01:37:00,22-12-05 20:20,18:43:00,▲ $225,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"17100,00","16882,00",2022-12-08 19:34:00,22-12-12 03:50,80:16:00,▲ $218,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,"17328,00","17104,00",2022-12-08 19:52:00,22-12-09 22:30,26:38:00,▲ $224,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,"17309,00","17066,00",2022-12-11 20:11:00,22-12-12 01:06,4:55:00,▲ $243,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,,,,,,,,,,,,,,
,,,,"17250,00","18081,00",2022-12-12 22:08:00,22-12-14 19:50,45:42:00,▼ -$831,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,"17484,00","18326,00",2022-12-13 11:16:00,22-12-14 20:00,32:44:00,▼ -$842,"▲ 0,00%","$0,00","$0,00",,,,,
,,,,"18363,00","17953,00",2022-12-14 19:51:00,22-12-14 20:06,24:15:00,▲ $410,"▲ 0,00%","$0,00","$0,00",,,,,